,cellName,cellMarker
2253,CD141+CLEC9A+ dendritic cell,PIK3CB
2254,CD141+CLEC9A+ dendritic cell,PLCD1
2255,CD141+CLEC9A+ dendritic cell,PPA1
2256,CD141+CLEC9A+ dendritic cell,PPM1H
2257,CD141+CLEC9A+ dendritic cell,PPM1M
2258,CD141+CLEC9A+ dendritic cell,RAB11FIP4
2259,CD141+CLEC9A+ dendritic cell,RGS10
2260,CD141+CLEC9A+ dendritic cell,SCARF1
2261,CD141+CLEC9A+ dendritic cell,SLAMF7
2262,CD141+CLEC9A+ dendritic cell,SLAMF8
2263,CD141+CLEC9A+ dendritic cell,SLC24A4
2264,CD141+CLEC9A+ dendritic cell,SLC9A9
2265,CD141+CLEC9A+ dendritic cell,SNX22
2266,CD141+CLEC9A+ dendritic cell,SNX3
2267,CD141+CLEC9A+ dendritic cell,STX3
2268,CD141+CLEC9A+ dendritic cell,TMEM14A
2269,CD141+CLEC9A+ dendritic cell,TRERF1
2270,CD141+CLEC9A+ dendritic cell,VAC14
2271,CD141+CLEC9A+ dendritic cell,VAV3
2272,CD141+CLEC9A+ dendritic cell,WDFY4
2273,CD141+CLEC9A+ dendritic cell,WHAMMP3
2274,CD141+CLEC9A+ dendritic cell,XCR1
2275,CD141+CLEC9A+ dendritic cell,ZNF366
2276,CD1C+_A dendritic cell,ADAM8
2277,CD1C+_A dendritic cell,AREG
2278,CD1C+_A dendritic cell,TMEM273
2279,CD1C+_A dendritic cell,CACNA2D3
2280,CD1C+_A dendritic cell,CD1D
2281,CD1C+_A dendritic cell,CD1E
2282,CD1C+_A dendritic cell,CLEC10A
2283,CD1C+_A dendritic cell,CLEC17A
2284,CD1C+_A dendritic cell,CLEC4A
2285,CD1C+_A dendritic cell,CLIC2
2286,CD1C+_A dendritic cell,CREB5
2287,CD1C+_A dendritic cell,ENTPD1
2288,CD1C+_A dendritic cell,ETS2
2289,CD1C+_A dendritic cell,FCER1A
2290,CD1C+_A dendritic cell,FCGR2B
2291,CD1C+_A dendritic cell,ITGA5
2292,CD1C+_A dendritic cell,MBOAT7
2293,CD1C+_A dendritic cell,NOD2
2294,CD1C+_A dendritic cell,NR4A2
2295,CD1C+_A dendritic cell,PEA15
2296,CD1C+_A dendritic cell,PER1
2297,CD1C+_A dendritic cell,PID1
2298,CD1C+_A dendritic cell,PTGS1
2299,CD1C+_A dendritic cell,SMN1
2300,CD1C+_B dendritic cell,AOAH
2301,CD1C+_B dendritic cell,ASGR1
2302,CD1C+_B dendritic cell,BST1
2303,CD1C+_B dendritic cell,CES1
2304,CD1C+_B dendritic cell,CES1P1
2305,CD1C+_B dendritic cell,EREG
2306,CD1C+_B dendritic cell,F13A1
2307,CD1C+_B dendritic cell,FCN1
2308,CD1C+_B dendritic cell,FPR1
2309,CD1C+_B dendritic cell,HBEGF
2310,CD1C+_B dendritic cell,HNMT
2311,CD1C+_B dendritic cell,IL13RA1
2312,CD1C+_B dendritic cell,LAT2
2313,CD1C+_B dendritic cell,MIR23AHG
2314,CD1C+_B dendritic cell,MGST1
2315,CD1C+_B dendritic cell,MICAL2
2316,CD1C+_B dendritic cell,MNDA
2317,CD1C+_B dendritic cell,MPP7
2318,CD1C+_B dendritic cell,MTMR11
2319,CD1C+_B dendritic cell,NAIP
2320,CD1C+_B dendritic cell,NFE2
2321,CD1C+_B dendritic cell,NLRP3
2322,CD1C+_B dendritic cell,PLBD1
2323,CD1C+_B dendritic cell,RAB3D
2324,CD1C+_B dendritic cell,RETN
2325,CD1C+_B dendritic cell,RNASE2
2326,CD1C+_B dendritic cell,S100A12
2327,CD1C+_B dendritic cell,S100A9
2328,CD1C+_B dendritic cell,STING1
2329,CD1C+_B dendritic cell,TREM1
2330,CD1C+_B dendritic cell,VCAN
2593,AXL+SIGLEC6+ dendritic cell,ACP3
2594,AXL+SIGLEC6+ dendritic cell,ADAM33
2595,AXL+SIGLEC6+ dendritic cell,ALDH2
2596,AXL+SIGLEC6+ dendritic cell,APEX1
2597,AXL+SIGLEC6+ dendritic cell,ARHGAP18
2598,AXL+SIGLEC6+ dendritic cell,ATF5
2599,AXL+SIGLEC6+ dendritic cell,ATP2B4
2600,AXL+SIGLEC6+ dendritic cell,AXL
2601,AXL+SIGLEC6+ dendritic cell,BAIAP2
2602,AXL+SIGLEC6+ dendritic cell,BIN1
2603,AXL+SIGLEC6+ dendritic cell,CCND3
2604,AXL+SIGLEC6+ dendritic cell,CD300LB
2605,AXL+SIGLEC6+ dendritic cell,CD300LG
2606,AXL+SIGLEC6+ dendritic cell,CD5
2607,AXL+SIGLEC6+ dendritic cell,CD72
2608,AXL+SIGLEC6+ dendritic cell,CDKN1A
2609,AXL+SIGLEC6+ dendritic cell,CEP95
2610,AXL+SIGLEC6+ dendritic cell,COQ7
2611,AXL+SIGLEC6+ dendritic cell,CTSW
2612,AXL+SIGLEC6+ dendritic cell,DAB2
2613,AXL+SIGLEC6+ dendritic cell,DPYSL2
2614,AXL+SIGLEC6+ dendritic cell,ENTPD7
2615,AXL+SIGLEC6+ dendritic cell,GGTA1
2616,AXL+SIGLEC6+ dendritic cell,GNAQ
2617,AXL+SIGLEC6+ dendritic cell,GPR146
2618,AXL+SIGLEC6+ dendritic cell,IRF4
2619,AXL+SIGLEC6+ dendritic cell,KLF12
2620,AXL+SIGLEC6+ dendritic cell,LGMN
2621,AXL+SIGLEC6+ dendritic cell,LTK
2622,AXL+SIGLEC6+ dendritic cell,MECR
2623,AXL+SIGLEC6+ dendritic cell,MED12L
2624,AXL+SIGLEC6+ dendritic cell,MGLL
2625,AXL+SIGLEC6+ dendritic cell,MRPS6
2626,AXL+SIGLEC6+ dendritic cell,MYH11
2627,AXL+SIGLEC6+ dendritic cell,MYO1E
2628,AXL+SIGLEC6+ dendritic cell,NDRG1
2629,AXL+SIGLEC6+ dendritic cell,PIM2
2630,AXL+SIGLEC6+ dendritic cell,PPP1R14A
2631,AXL+SIGLEC6+ dendritic cell,PTGDS
2632,AXL+SIGLEC6+ dendritic cell,RAD1
2633,AXL+SIGLEC6+ dendritic cell,RBL1
2634,AXL+SIGLEC6+ dendritic cell,RNASEL
2635,AXL+SIGLEC6+ dendritic cell,RNF141
2636,AXL+SIGLEC6+ dendritic cell,RUNX2
2637,AXL+SIGLEC6+ dendritic cell,SCN9A
2638,AXL+SIGLEC6+ dendritic cell,SIGLEC1
2639,AXL+SIGLEC6+ dendritic cell,SIGLEC6
2640,AXL+SIGLEC6+ dendritic cell,SLC20A1
2641,AXL+SIGLEC6+ dendritic cell,SLC35C2
2642,AXL+SIGLEC6+ dendritic cell,SLC41A2
2643,AXL+SIGLEC6+ dendritic cell,SLC4A3
2644,AXL+SIGLEC6+ dendritic cell,SNRNP25
2645,AXL+SIGLEC6+ dendritic cell,SP4
2646,AXL+SIGLEC6+ dendritic cell,STAG3L4
2647,AXL+SIGLEC6+ dendritic cell,STX18
2648,AXL+SIGLEC6+ dendritic cell,SUCLA2
2649,AXL+SIGLEC6+ dendritic cell,SUSD1
2650,AXL+SIGLEC6+ dendritic cell,TNFSF12
2651,AXL+SIGLEC6+ dendritic cell,TNNI2
2652,AXL+SIGLEC6+ dendritic cell,TSEN54
2653,AXL+SIGLEC6+ dendritic cell,TXN
2654,AXL+SIGLEC6+ dendritic cell,UPK3A
2655,AXL+SIGLEC6+ dendritic cell,VASH1
2656,AXL+SIGLEC6+ dendritic cell,ZEB1
2657,AXL+SIGLEC6+ dendritic cell,ZNF789
2658,Plasmacytoid dendritic cell,ABCA2
2659,Plasmacytoid dendritic cell,ABCA7
2660,Plasmacytoid dendritic cell,ADAM19
2661,Plasmacytoid dendritic cell,AHI1
2662,Plasmacytoid dendritic cell,AHNAK2
2663,Plasmacytoid dendritic cell,ALDH5A1
2664,Plasmacytoid dendritic cell,ALG2
2665,Plasmacytoid dendritic cell,ALOX5AP
2666,Plasmacytoid dendritic cell,ANKRD36BP1
2667,Plasmacytoid dendritic cell,ANKS3
2668,Plasmacytoid dendritic cell,ARL6IP6
2669,Plasmacytoid dendritic cell,ASPH
2670,Plasmacytoid dendritic cell,ATP13A2
2671,Plasmacytoid dendritic cell,ATP2A3
2672,Plasmacytoid dendritic cell,B4GALT1
2673,Plasmacytoid dendritic cell,BCL11A
2674,Plasmacytoid dendritic cell,BEX4
2675,Plasmacytoid dendritic cell,BLNK
2676,Plasmacytoid dendritic cell,CARD11
2677,Plasmacytoid dendritic cell,CCDC50
2678,Plasmacytoid dendritic cell,CCDC69
2679,Plasmacytoid dendritic cell,CCR2
2680,Plasmacytoid dendritic cell,CCS
2681,Plasmacytoid dendritic cell,CD2AP
2682,Plasmacytoid dendritic cell,CD99
2683,Plasmacytoid dendritic cell,CDCA7L
2684,Plasmacytoid dendritic cell,CEP135
2685,Plasmacytoid dendritic cell,CLCN5
2686,Plasmacytoid dendritic cell,CLIC3
2687,Plasmacytoid dendritic cell,CMKLR1
2688,Plasmacytoid dendritic cell,CNP
2689,Plasmacytoid dendritic cell,COBLL1
2690,Plasmacytoid dendritic cell,COL24A1
2691,Plasmacytoid dendritic cell,CREB3L2
2692,Plasmacytoid dendritic cell,CRIM1
2693,Plasmacytoid dendritic cell,CRYM-AS1
2694,Plasmacytoid dendritic cell,CSF2RB
2695,Plasmacytoid dendritic cell,CSNK1E
2696,Plasmacytoid dendritic cell,CTSB
2697,Plasmacytoid dendritic cell,CUX2
2698,Plasmacytoid dendritic cell,CYP46A1
2699,Plasmacytoid dendritic cell,CYSLTR1
2700,Plasmacytoid dendritic cell,CYTH4
2701,Plasmacytoid dendritic cell,DAAM1
2702,Plasmacytoid dendritic cell,DAPK2
2703,Plasmacytoid dendritic cell,DCK
2704,Plasmacytoid dendritic cell,DCPS
2705,Plasmacytoid dendritic cell,DERL3
2706,Plasmacytoid dendritic cell,DHTKD1
2707,Plasmacytoid dendritic cell,DKFZP586I1420
2708,Plasmacytoid dendritic cell,DPPA4
2709,Plasmacytoid dendritic cell,DSN1
2710,Plasmacytoid dendritic cell,DUSP5
2711,Plasmacytoid dendritic cell,EGLN3
2712,Plasmacytoid dendritic cell,EIF4A3
2713,Plasmacytoid dendritic cell,EMB
2714,Plasmacytoid dendritic cell,EPHB1
2715,Plasmacytoid dendritic cell,ERN1
2716,Plasmacytoid dendritic cell,ERP29
2717,Plasmacytoid dendritic cell,FHIP1A
2718,Plasmacytoid dendritic cell,FCHSD2
2719,Plasmacytoid dendritic cell,FKBP2
2720,Plasmacytoid dendritic cell,FLNB
2721,Plasmacytoid dendritic cell,FMNL3
2722,Plasmacytoid dendritic cell,FOXRED2
2723,Plasmacytoid dendritic cell,FUT7
2724,Plasmacytoid dendritic cell,FZD3
2725,Plasmacytoid dendritic cell,GAB1
2726,Plasmacytoid dendritic cell,GALNT2
2727,Plasmacytoid dendritic cell,GAPT
2728,Plasmacytoid dendritic cell,GAS6
2729,Plasmacytoid dendritic cell,GGA2
2730,Plasmacytoid dendritic cell,GLCE
2731,Plasmacytoid dendritic cell,GNG7
2732,Plasmacytoid dendritic cell,GPM6B
2733,Plasmacytoid dendritic cell,GPR183
2734,Plasmacytoid dendritic cell,HERPUD1
2735,Plasmacytoid dendritic cell,HIGD1A
2736,Plasmacytoid dendritic cell,HNRNPA1L2
2737,Plasmacytoid dendritic cell,HPS4
2738,Plasmacytoid dendritic cell,HSP90B1
2739,Plasmacytoid dendritic cell,IDH3A
2740,Plasmacytoid dendritic cell,IGFBP3
2741,Plasmacytoid dendritic cell,IGFLR1
2742,Plasmacytoid dendritic cell,IRF2BP2
2743,Plasmacytoid dendritic cell,IRF7
2744,Plasmacytoid dendritic cell,IRF8
2745,Plasmacytoid dendritic cell,ITM2C
2746,Plasmacytoid dendritic cell,ITPR1
2747,Plasmacytoid dendritic cell,KANK1
2748,Plasmacytoid dendritic cell,KIRREL3
2749,Plasmacytoid dendritic cell,KRR1
2750,Plasmacytoid dendritic cell,LAMP5
2751,Plasmacytoid dendritic cell,LILRA4
2752,Plasmacytoid dendritic cell,LILRB4
2753,Plasmacytoid dendritic cell,LIME1
2754,Plasmacytoid dendritic cell,LMAN1
2755,Plasmacytoid dendritic cell,LCT-AS1
2756,Plasmacytoid dendritic cell,LOC652276
2757,Plasmacytoid dendritic cell,LRP8
2758,Plasmacytoid dendritic cell,LTB
2759,Plasmacytoid dendritic cell,LY9
2760,Plasmacytoid dendritic cell,MAGED1
2761,Plasmacytoid dendritic cell,MAN2B1
2762,Plasmacytoid dendritic cell,MAP1A
2763,Plasmacytoid dendritic cell,MAP2K6
2764,Plasmacytoid dendritic cell,MAP4K4
2765,Plasmacytoid dendritic cell,MAPKAPK2
2766,Plasmacytoid dendritic cell,MCOLN2
2767,Plasmacytoid dendritic cell,MDFIC
2768,Plasmacytoid dendritic cell,MDN1
2769,Plasmacytoid dendritic cell,MFSD2A
2770,Plasmacytoid dendritic cell,MIF4GD
2771,Plasmacytoid dendritic cell,MILR1
2772,Plasmacytoid dendritic cell,MRPL36
2773,Plasmacytoid dendritic cell,MS4A6A
2774,Plasmacytoid dendritic cell,MYB
2775,Plasmacytoid dendritic cell,MYBL2
2776,Plasmacytoid dendritic cell,MZB1
2777,Plasmacytoid dendritic cell,N4BP2L1
2778,Plasmacytoid dendritic cell,NCF1
2779,Plasmacytoid dendritic cell,NCF1B
2780,Plasmacytoid dendritic cell,NCF1C
2781,Plasmacytoid dendritic cell,NFX1
2782,Plasmacytoid dendritic cell,NGLY1
2783,Plasmacytoid dendritic cell,NICN1
2784,Plasmacytoid dendritic cell,NOP56
2785,Plasmacytoid dendritic cell,NOTCH4
2786,Plasmacytoid dendritic cell,NPC1
2787,Plasmacytoid dendritic cell,NPC2
2788,Plasmacytoid dendritic cell,NUCB2
2789,Plasmacytoid dendritic cell,OFD1
2790,Plasmacytoid dendritic cell,OGT
2791,Plasmacytoid dendritic cell,OVOS2
2792,Plasmacytoid dendritic cell,P2RY14
2793,Plasmacytoid dendritic cell,P2RY6
2794,Plasmacytoid dendritic cell,P4HB
2795,Plasmacytoid dendritic cell,PACSIN1
2796,Plasmacytoid dendritic cell,PAFAH2
2797,Plasmacytoid dendritic cell,PAIP1
2798,Plasmacytoid dendritic cell,PAPLN
2799,Plasmacytoid dendritic cell,PARK7
2800,Plasmacytoid dendritic cell,PARP10
2801,Plasmacytoid dendritic cell,PCYOX1
2802,Plasmacytoid dendritic cell,PDCD4
2803,Plasmacytoid dendritic cell,PDIA4
2804,Plasmacytoid dendritic cell,PFKFB2
2805,Plasmacytoid dendritic cell,PFKP
2806,Plasmacytoid dendritic cell,PHC3
2807,Plasmacytoid dendritic cell,PHEX
2808,Plasmacytoid dendritic cell,PHLPP2
2809,Plasmacytoid dendritic cell,PIK3CD
2810,Plasmacytoid dendritic cell,PLD4
2811,Plasmacytoid dendritic cell,PLXNA4
2812,Plasmacytoid dendritic cell,PMS2P5
2813,Plasmacytoid dendritic cell,POLB
2814,Plasmacytoid dendritic cell,PPARA
2815,Plasmacytoid dendritic cell,PPFIBP1
2816,Plasmacytoid dendritic cell,PPM1J
2817,Plasmacytoid dendritic cell,PPM1K
2818,Plasmacytoid dendritic cell,PPP6R1
2819,Plasmacytoid dendritic cell,PTCRA
2820,Plasmacytoid dendritic cell,PTK7
2821,Plasmacytoid dendritic cell,PTPRCAP
2822,Plasmacytoid dendritic cell,PTPRS
2823,Plasmacytoid dendritic cell,QDPR
2824,Plasmacytoid dendritic cell,RABGAP1L
2825,Plasmacytoid dendritic cell,RASD1
2826,Plasmacytoid dendritic cell,RCL1
2827,Plasmacytoid dendritic cell,RNASE6
2828,Plasmacytoid dendritic cell,RNASEH2B
2829,Plasmacytoid dendritic cell,RNASET2
2830,Plasmacytoid dendritic cell,RNF5
2831,Plasmacytoid dendritic cell,RRBP1
2832,Plasmacytoid dendritic cell,RREB1
2833,Plasmacytoid dendritic cell,S100PBP
2834,Plasmacytoid dendritic cell,SBDS
2835,Plasmacytoid dendritic cell,SCAMP5
2836,Plasmacytoid dendritic cell,SEC61A1
2837,Plasmacytoid dendritic cell,SEC61B
2838,Plasmacytoid dendritic cell,SEC61G
2839,Plasmacytoid dendritic cell,SEL1L3
2840,Plasmacytoid dendritic cell,SERPINF1
2841,Plasmacytoid dendritic cell,SERTAD2
2842,Plasmacytoid dendritic cell,SETBP1
2843,Plasmacytoid dendritic cell,SFT2D2
2844,Plasmacytoid dendritic cell,SGSM3
2845,Plasmacytoid dendritic cell,SIT1
2846,Plasmacytoid dendritic cell,SIVA1
2847,Plasmacytoid dendritic cell,SLA2
2848,Plasmacytoid dendritic cell,SLC12A3
2849,Plasmacytoid dendritic cell,SLC15A4
2850,Plasmacytoid dendritic cell,SLC23A2
2851,Plasmacytoid dendritic cell,SLC2A1
2852,Plasmacytoid dendritic cell,SLC33A1
2853,Plasmacytoid dendritic cell,SLC38A1
2854,Plasmacytoid dendritic cell,SLC38A2
2855,Plasmacytoid dendritic cell,SLC3A2
2856,Plasmacytoid dendritic cell,SLC7A11
2857,Plasmacytoid dendritic cell,SLC7A5
2858,Plasmacytoid dendritic cell,SMC6
2859,Plasmacytoid dendritic cell,SMPD3
2860,Plasmacytoid dendritic cell,SND1
2861,Plasmacytoid dendritic cell,SNRPN
2862,Plasmacytoid dendritic cell,SPATA5
2863,Plasmacytoid dendritic cell,SPCS1
2864,Plasmacytoid dendritic cell,SPIB
2865,Plasmacytoid dendritic cell,SPICE1
2866,Plasmacytoid dendritic cell,SPNS3
2867,Plasmacytoid dendritic cell,SPON2
2868,Plasmacytoid dendritic cell,SSR4
2869,Plasmacytoid dendritic cell,ST3GAL2
2870,Plasmacytoid dendritic cell,ST3GAL4
2871,Plasmacytoid dendritic cell,ST6GALNAC4
2872,Plasmacytoid dendritic cell,STAG3L1
2873,Plasmacytoid dendritic cell,STAG3L3
2874,Plasmacytoid dendritic cell,STAMBPL1
2875,Plasmacytoid dendritic cell,STMN1
2876,Plasmacytoid dendritic cell,STRBP
2877,Plasmacytoid dendritic cell,STT3A
2878,Plasmacytoid dendritic cell,SULF2
2879,Plasmacytoid dendritic cell,SYS1
2880,Plasmacytoid dendritic cell,TASP1
2881,Plasmacytoid dendritic cell,TATDN3
2882,Plasmacytoid dendritic cell,TAX1BP3
2883,Plasmacytoid dendritic cell,TBCC
2884,Plasmacytoid dendritic cell,TCF4
2885,Plasmacytoid dendritic cell,TCL1A
2886,Plasmacytoid dendritic cell,TCL6
2887,Plasmacytoid dendritic cell,TEX2
2888,Plasmacytoid dendritic cell,TGFBI
2889,Plasmacytoid dendritic cell,THSD1P1
2890,Plasmacytoid dendritic cell,TMEM109
2891,Plasmacytoid dendritic cell,TMEM19
2892,Plasmacytoid dendritic cell,TMEM63A
2893,Plasmacytoid dendritic cell,TNFAIP3
2894,Plasmacytoid dendritic cell,TNFRSF21
2895,Plasmacytoid dendritic cell,TP53I11
2896,Plasmacytoid dendritic cell,TP53I13
2897,Plasmacytoid dendritic cell,TPM2
2898,Plasmacytoid dendritic cell,TPST2
2899,Plasmacytoid dendritic cell,TRAF4
2900,Plasmacytoid dendritic cell,TRAM1
2901,Plasmacytoid dendritic cell,TRDMT1
2902,Plasmacytoid dendritic cell,TRIM74
2903,Plasmacytoid dendritic cell,TRRAP
2904,Plasmacytoid dendritic cell,TSPAN13
2905,Plasmacytoid dendritic cell,TSPAN3
2906,Plasmacytoid dendritic cell,TTC24
2907,Plasmacytoid dendritic cell,TULP4
2908,Plasmacytoid dendritic cell,TXNDC5
2909,Plasmacytoid dendritic cell,UBA5
2910,Plasmacytoid dendritic cell,UBE2J1
2911,Plasmacytoid dendritic cell,UGCG
2912,Plasmacytoid dendritic cell,USP11
2913,Plasmacytoid dendritic cell,USP24
2914,Plasmacytoid dendritic cell,VAMP1
2915,Plasmacytoid dendritic cell,VIPR2
2916,Plasmacytoid dendritic cell,ZBTB33
2917,Plasmacytoid dendritic cell,ZDHHC17
2918,Plasmacytoid dendritic cell,ZDHHC4
2919,Plasmacytoid dendritic cell,ZFAT
2920,Plasmacytoid dendritic cell,ZFYVE26
2921,Plasmacytoid dendritic cell,ZNF506
2922,Plasmacytoid dendritic cell,ZNF527
2923,Megakaryocyte,FUT4
2924,Basal cell,FYB1
2925,Basal cell,NECTIN1
2926,Basal cell,UPK3BL1
2927,Secretory cell,PLAAT4
2928,Secretory cell,SELENOM
2929,Ciliated cell,ATP5IF1
2930,Ciliated cell,CABCOCO1
2931,Ciliated cell,GON7
2932,Ciliated cell,CFAP161
2933,Ciliated cell,CFAP126
2934,Ciliated cell,CFAP61
2935,Ciliated cell,CFAP298
2936,Ciliated cell,ECRG4
2937,Ciliated cell,CFAP77
2938,Ciliated cell,SPACA9
2939,Ciliated cell,CFAP36
2940,Ciliated cell,CFAP53
2941,Ciliated cell,BBOF1
2942,Ciliated cell,CFAP73
2943,Ciliated cell,CCN2
2944,Ciliated cell,SAXO2
2945,Ciliated cell,GRAMD2A
2946,Ciliated cell,DNAAF5
2947,Ciliated cell,PLAAT2
2948,Ciliated cell,BRD3OS
2949,Ciliated cell,MTSS2
2950,Ciliated cell,PLAAT3
2951,Ciliated cell,HACD4
2952,Ciliated cell,RSPH14
2953,Ciliated cell,METTL27
2954,Ciliated cell,CFAP52
2955,Ciliated cell,GET1
2956,Ionocyte cell,VPS50
2957,Ionocyte cell,RTL8A
2958,Ionocyte cell,MCRIP2
2959,Ionocyte cell,GAREM1
2960,Ionocyte cell,NIPSNAP2
2961,Ionocyte cell,ADGRF5
2962,Ionocyte cell,SHTN1
2963,Ionocyte cell,RTL6
2964,Ionocyte cell,METTL13
2965,Ionocyte cell,ITPRID2
2966,Ionocyte cell,EIPR1
2967,FOXN4+ cell,POGLUT3
2968,FOXN4+ cell,HACD3
2969,FOXN4+ cell,NSD2
2970,SLC16A7+ cell,GRK3
2971,SLC16A7+ cell,AHSA2P
2972,SLC16A7+ cell,COA8
2973,SLC16A7+ cell,DMAC2L
2974,SLC16A7+ cell,BAIAP2-DT
2975,SLC16A7+ cell,BMS1P1
2976,SLC16A7+ cell,BSN-DT
2977,SLC16A7+ cell,TSPOAP1
2978,SLC16A7+ cell,BORCS7
2979,SLC16A7+ cell,JHY
2980,SLC16A7+ cell,TIGAR
2981,SLC16A7+ cell,CCDC198
2982,SLC16A7+ cell,DGLUCY
2983,SLC16A7+ cell,LINC01588
2984,SLC16A7+ cell,LINC01551
2985,SLC16A7+ cell,CCDC32
2986,SLC16A7+ cell,MOSMO
2987,SLC16A7+ cell,FAAP24
2988,SLC16A7+ cell,SHFL
2989,SLC16A7+ cell,ARMH1
2990,SLC16A7+ cell,CFAP410
2991,SLC16A7+ cell,RTL10
2992,SLC16A7+ cell,ABHD18
2993,SLC16A7+ cell,TMEM267
2994,SLC16A7+ cell,CPLANE1
2995,SLC16A7+ cell,MRNIP
2996,SLC16A7+ cell,EXOC3-AS1
2997,SLC16A7+ cell,CFAP69
2998,SLC16A7+ cell,CFAP157
2999,SLC16A7+ cell,AOPEP
3000,SLC16A7+ cell,CAPN10-DT
3001,SLC16A7+ cell,NAXD
3002,SLC16A7+ cell,CFAP100
3003,SLC16A7+ cell,CFAP47
3004,SLC16A7+ cell,DIPK2B
3005,SLC16A7+ cell,TKFC
3006,SLC16A7+ cell,DCDC1
3007,SLC16A7+ cell,INTS6L
3008,SLC16A7+ cell,DOP1A
3009,SLC16A7+ cell,ADGRE4P
3010,SLC16A7+ cell,FAM153CP
3011,SLC16A7+ cell,TOGARAM2
3012,SLC16A7+ cell,TASOR2
3013,SLC16A7+ cell,INKA2
3014,SLC16A7+ cell,MINDY2
3015,SLC16A7+ cell,MIGA1
3016,SLC16A7+ cell,MFSD14C
3017,SLC16A7+ cell,ZNF875
3018,SLC16A7+ cell,HNRNPU
3019,SLC16A7+ cell,ILF3-DT
3020,SLC16A7+ cell,CRPPA
3021,SLC16A7+ cell,PCLAF
3022,SLC16A7+ cell,RUBCN
3023,SLC16A7+ cell,KHDC4
3024,SLC16A7+ cell,WASHC4
3025,SLC16A7+ cell,ARFGEF3
3026,SLC16A7+ cell,CEP126
3027,SLC16A7+ cell,VIRMA
3028,SLC16A7+ cell,TRMT9B
3029,SLC16A7+ cell,LNPK
3030,SLC16A7+ cell,CFAP74
3031,SLC16A7+ cell,MFSD4B
3032,SLC16A7+ cell,P3H4
3033,SLC16A7+ cell,ANKRD40CL
3034,SLC16A7+ cell,MAN1B1-DT
3035,SLC16A7+ cell,MICOS10P1
3036,SLC16A7+ cell,AFDN
3037,SLC16A7+ cell,AFDN-DT
3038,SLC16A7+ cell,NUP50-DT
3039,SLC16A7+ cell,OSER1-DT
3040,SLC16A7+ cell,ACP7
3041,SLC16A7+ cell,PRKN
3042,SLC16A7+ cell,GATD1
3043,SLC16A7+ cell,PNMA8A
3044,SLC16A7+ cell,SLC66A1
3045,SLC16A7+ cell,PYCR3
3046,SLC16A7+ cell,RRP7BP
3047,SLC16A7+ cell,RSKR
3048,SLC16A7+ cell,SGO1
3049,SLC16A7+ cell,SMIM11
3050,SLC16A7+ cell,SPART
3051,SLC16A7+ cell,ELOC
3052,SLC16A7+ cell,MEAK7
3053,SLC16A7+ cell,CFAP70
3054,SLC16A7+ cell,CFAP46
3055,SLC16A7+ cell,CFAP44
3056,CD141+CLEC9A+ dendritic cell,CCSER1
3057,CD141+CLEC9A+ dendritic cell,GCSAM
3058,CD141+CLEC9A+ dendritic cell,MTERF2
3067,AXL+SIGLEC6+ dendritic cell,OTULINL
3068,AXL+SIGLEC6+ dendritic cell,NIBAN1
3069,Plasmacytoid dendritic cell,SEPTIN11
3070,Plasmacytoid dendritic cell,ERO1B
3071,Plasmacytoid dendritic cell,NIBAN3
3072,Plasmacytoid dendritic cell,ADGRG5
3073,Plasmacytoid dendritic cell,JCHAIN
3074,Plasmacytoid dendritic cell,IFNLR1
3075,Plasmacytoid dendritic cell,RUBCNL
3076,Plasmacytoid dendritic cell,RIOX2
3077,Plasmacytoid dendritic cell,PCNX1
3078,Plasmacytoid dendritic cell,SELENOS
3079,Plasmacytoid dendritic cell,CAPN15
3080,Plasmacytoid dendritic cell,SRPRA
3081,Plasmacytoid dendritic cell,SUZ12P1
3082,Plasmacytoid dendritic cell,TUT4
3083,Alveolar cell,CLDN18
3084,Alveolar cell,FOLR1
3085,Alveolar cell,AQP4
3086,Alveolar cell,PEBP4
3087,Endothelial cell,CLDN5
3088,Endothelial cell,RAMP2
3089,Fibroblast,DCN
3090,Fibroblast,C1R
3091,B cell,CD79A
3092,B cell,IGKC
3093,B cell,IGLC3
3094,B cell,IGHG3
3095,Myeloid cell,MARCO
3096,T cell,TRBC1
3097,T cell,TRBC2
3098,T cell,TRAC
3099,T cell,CD8B
3100,Red blood cell (erythrocyte),GYPA
3101,SLC16A7+ cell,ADPRHL2
3102,SLC16A7+ cell,ADRBK2
3103,SLC16A7+ cell,AHSA2
3104,Ionocyte cell,AKAP2
3105,SLC16A7+ cell,APOPT1
3106,Ciliated cell,ARMC4
3107,SLC16A7+ cell,ATP5S
3108,Ciliated cell,ATPIF1
3109,SLC16A7+ cell,BAIAP2-AS1
3110,SLC16A7+ cell,BMS1P5
3111,SLC16A7+ cell,BSN-AS2
3112,SLC16A7+ cell,BZRAP1
3113,Ciliated cell,C10orf107
3114,SLC16A7+ cell,C10orf32
3115,SLC16A7+ cell,C11orf63
3116,Ciliated cell,C11orf88
3117,SLC16A7+ cell,C12orf5
3118,SLC16A7+ cell,C14orf105
3119,Ciliated cell,C14orf142
3120,SLC16A7+ cell,C14orf159
3121,SLC16A7+ cell,C14orf182
3122,SLC16A7+ cell,C14orf23
3123,Ciliated cell,C15orf26
3124,SLC16A7+ cell,C15orf57
3125,SLC16A7+ cell,C16orf52
3126,Ciliated cell,C16orf71
3127,SLC16A7+ cell,C19orf40
